stamp,batch,case_id,coord,coord_value,status,last_step,total_steps,last_val_loss,failure_kind,hardware_family,gpuv,matrix_lr_mult,precond_lr_mult,matrix_beta1_om_mult,aux_lr_mult,aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,hidden_cooldown_frac
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0025_psgdh_core_512k_aux_cooldown_frac_0,aux_cooldown_frac,0,DONE,3250,3250,3.31359,,H20,NVIDIA_H20,1,1,1,1,1,1,0,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0026_psgdh_core_512k_aux_cooldown_frac_0p2,aux_cooldown_frac,0.2,DONE,3250,3250,3.28503,,H20,NVIDIA_H20,1,1,1,1,1,1,0.2,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0027_psgdh_core_512k_aux_cooldown_frac_0p4,aux_cooldown_frac,0.4,DONE,3250,3250,3.28393,,H20,NVIDIA_H20,1,1,1,1,1,1,0.4,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0028_psgdh_core_512k_aux_cooldown_frac_0p6,aux_cooldown_frac,0.6,DONE,3250,3250,3.28521,,H20,NVIDIA_H20,1,1,1,1,1,1,0.6,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0029_psgdh_core_512k_aux_cooldown_frac_0p8,aux_cooldown_frac,0.8,DONE,3250,3250,3.28658,,H20,NVIDIA_H20,1,1,1,1,1,1,0.8,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0030_psgdh_core_512k_matrix_cooldown_frac_0p6,matrix_cooldown_frac,0.6,DONE,3250,3250,3.31804,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,0.6
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0031_psgdh_core_512k_matrix_cooldown_frac_0p8,matrix_cooldown_frac,0.8,DONE,3250,3250,3.29815,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,0.8
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0000_psgdh_core_512k_center_1,center,center,DONE,3250,3250,3.28477,,H20,NVIDIA_H20,0.707106781187,1,2,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0001_psgdh_core_512k_matrix_lr_0p5,matrix_lr,0.353553390593,DONE,3250,3250,3.3493,,H20,NVIDIA_H20,0.353553390593,1,2,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_recovery4_ladder_20260828_1524,512k,0002_psgdh_core_512k_matrix_lr_0p707106781187,matrix_lr,0.5,DONE,3250,3250,3.31112,,H20,NVIDIA_H20,0.5,1,2,1.41421356237,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r1_ladder_20260828_1232,512k,0003_psgdh_core_512k_matrix_lr_1p41421356237,matrix_lr,1,DONE,3250,3250,3.2744,,H20,NVIDIA_H20,1,1,2,1.41421356237,1,0.5,0.5,1
