batch,round_index,coordinate,raw_best_case_id,raw_improvement,accepted,accepted_improvement,boundary
512k,0,aux_beta1_om,0019_psgdh_core_512k_aux_beta1_om_1p41421356237,0.0014400000000001079,False,0.0,False
512k,0,aux_beta2_om,0021_psgdh_core_512k_aux_beta2_om_0p5,0.0036399999999998656,True,0.0036399999999998656,True
512k,0,aux_cooldown_frac,0027_psgdh_core_512k_aux_cooldown_frac_0p4,0.0012500000000001954,False,0.0,False
512k,0,aux_lr_global,0015_psgdh_core_512k_aux_lr_global_1p41421356237,0.005450000000000177,True,0.005450000000000177,False
512k,0,matrix_beta1_om,0012_psgdh_core_512k_matrix_beta1_om_2,0.007769999999999833,True,0.007769999999999833,True
512k,0,matrix_cooldown_frac,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,0,matrix_lr,0002_psgdh_core_512k_matrix_lr_0p707106781187,0.005290000000000017,True,0.005290000000000017,False
512k,0,precond_lr,0007_psgdh_core_512k_precond_lr_1p41421356237,0.0029200000000000337,False,0.0,False
512k,1,aux_beta1_om,0018_psgdh_core_512k_aux_beta1_om_0p707106781187,0.0028199999999998226,False,0.0,False
512k,1,aux_beta2_om,0022_psgdh_core_512k_aux_beta2_om_0p707106781187,0.0005999999999999339,False,0.0,False
512k,1,aux_cooldown_frac,0028_psgdh_core_512k_aux_cooldown_frac_0p6,0.0003500000000000725,False,0.0,False
512k,1,aux_lr_global,0016_psgdh_core_512k_aux_lr_global_2,0.00042000000000008697,False,0.0,False
512k,1,matrix_beta1_om,0009_psgdh_core_512k_matrix_beta1_om_0p5,0.007149999999999768,True,0.007149999999999768,True
512k,1,matrix_cooldown_frac,0031_psgdh_core_512k_matrix_cooldown_frac_0p8,0.005819999999999936,True,0.005819999999999936,False
512k,1,matrix_lr,0003_psgdh_core_512k_matrix_lr_1p41421356237,0.01036999999999999,True,0.01036999999999999,False
512k,1,precond_lr,0006_psgdh_core_512k_precond_lr_0p707106781187,0.0013199999999997658,False,0.0,False
512k,2,aux_beta1_om,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,2,aux_beta2_om,0021_psgdh_core_512k_aux_beta2_om_0p5,0.0008099999999999774,False,0.0,False
512k,2,aux_cooldown_frac,0028_psgdh_core_512k_aux_cooldown_frac_0p6,0.0012499999999997513,False,0.0,False
512k,2,aux_lr_global,0016_psgdh_core_512k_aux_lr_global_2,0.0010799999999999699,False,0.0,False
512k,2,matrix_beta1_om,0012_psgdh_core_512k_matrix_beta1_om_2,0.012950000000000017,True,0.012950000000000017,True
512k,2,matrix_cooldown_frac,0031_psgdh_core_512k_matrix_cooldown_frac_1,0.011139999999999706,True,0.011139999999999706,True
512k,2,matrix_lr,0002_psgdh_core_512k_matrix_lr_0p707106781187,0.014920000000000044,True,0.014920000000000044,False
512k,2,precond_lr,0008_psgdh_core_512k_precond_lr_2,0.0022599999999997067,False,0.0,False
512k,3,aux_beta1_om,0018_psgdh_core_512k_aux_beta1_om_0p707106781187,0.0007199999999998319,False,0.0,False
512k,3,aux_beta2_om,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,3,aux_cooldown_frac,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,3,aux_lr_global,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,3,matrix_beta1_om,0009_psgdh_core_512k_matrix_beta1_om_0p5,0.007619999999999738,True,0.007619999999999738,True
512k,3,matrix_cooldown_frac,0031_psgdh_core_512k_matrix_cooldown_frac_0p8,0.005939999999999834,True,0.005939999999999834,False
512k,3,matrix_lr,0003_psgdh_core_512k_matrix_lr_1p41421356237,0.009619999999999962,True,0.009619999999999962,False
512k,3,precond_lr,0005_psgdh_core_512k_precond_lr_0p5,0.0011399999999999189,False,0.0,False
512k,4,aux_beta1_om,0018_psgdh_core_512k_aux_beta1_om_0p707106781187,0.00030999999999981043,False,0.0,False
512k,4,aux_beta2_om,0021_psgdh_core_512k_aux_beta2_om_0p5,0.0021599999999999397,False,0.0,False
512k,4,aux_cooldown_frac,0027_psgdh_core_512k_aux_cooldown_frac_0p4,0.0013700000000000934,False,0.0,False
512k,4,aux_lr_global,0015_psgdh_core_512k_aux_lr_global_1p41421356237,0.0008400000000001739,False,0.0,False
512k,4,matrix_beta1_om,0012_psgdh_core_512k_matrix_beta1_om_2,0.013949999999999907,True,0.013949999999999907,True
512k,4,matrix_cooldown_frac,0031_psgdh_core_512k_matrix_cooldown_frac_1,0.012739999999999974,True,0.012739999999999974,True
512k,4,matrix_lr,0002_psgdh_core_512k_matrix_lr_0p707106781187,0.015390000000000015,True,0.015390000000000015,False
512k,4,precond_lr,0008_psgdh_core_512k_precond_lr_2,0.004290000000000127,True,0.004290000000000127,True
512k,5,aux_beta1_om,0017_psgdh_core_512k_aux_beta1_om_0p5,0.00015999999999971593,False,0.0,False
