batch,round_index,coordinate,raw_best_case_id,raw_improvement,accepted,accepted_improvement,boundary
512k,5,aux_beta2_om,0023_psgdh_core_512k_aux_beta2_om_1p41421356237,3.999999999981796e-05,False,0.0,False
512k,5,aux_cooldown_frac,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,5,aux_lr_global,0015_psgdh_core_512k_aux_lr_global_1p41421356237,0.0012699999999998823,False,0.0,False
512k,5,matrix_beta1_om,0009_psgdh_core_512k_matrix_beta1_om_0p5,0.009849999999999692,True,0.009849999999999692,True
512k,5,matrix_cooldown_frac,0030_psgdh_core_512k_matrix_cooldown_frac_0p6,0.008140000000000036,True,0.008140000000000036,True
512k,5,matrix_lr,0003_psgdh_core_512k_matrix_lr_1p41421356237,0.013819999999999943,True,0.013819999999999943,False
512k,5,precond_lr,0005_psgdh_core_512k_precond_lr_0p5,0.006899999999999906,True,0.006899999999999906,True
512k,6,aux_beta1_om,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,6,aux_beta2_om,0021_psgdh_core_512k_aux_beta2_om_0p5,0.0024999999999999467,False,0.0,False
512k,6,aux_cooldown_frac,0027_psgdh_core_512k_aux_cooldown_frac_0p4,0.0025200000000000777,False,0.0,False
512k,6,aux_lr_global,0015_psgdh_core_512k_aux_lr_global_1p41421356237,0.0016699999999998383,False,0.0,False
512k,6,matrix_beta1_om,0012_psgdh_core_512k_matrix_beta1_om_2,0.024640000000000217,True,0.024640000000000217,True
512k,6,matrix_cooldown_frac,0031_psgdh_core_512k_matrix_cooldown_frac_0p8,0.02110000000000012,True,0.02110000000000012,True
512k,6,matrix_lr,0001_psgdh_core_512k_matrix_lr_0p5,0.028830000000000133,True,0.028830000000000133,True
512k,6,precond_lr,0008_psgdh_core_512k_precond_lr_2,0.007169999999999899,True,0.007169999999999899,True
512k,7,aux_beta1_om,0017_psgdh_core_512k_aux_beta1_om_0p5,0.002129999999999743,False,0.0,False
512k,7,aux_beta2_om,0021_psgdh_core_512k_aux_beta2_om_0p5,0.0013799999999997148,False,0.0,False
512k,7,aux_cooldown_frac,0028_psgdh_core_512k_aux_cooldown_frac_0p6,0.00030999999999981043,False,0.0,False
512k,7,aux_lr_global,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,7,matrix_beta1_om,0010_psgdh_core_512k_matrix_beta1_om_0p707106781187,0.0016300000000000203,False,0.0,False
512k,7,matrix_cooldown_frac,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,7,matrix_lr,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,7,precond_lr,0005_psgdh_core_512k_precond_lr_0p5,0.003249999999999975,True,0.003249999999999975,True
512k,8,aux_beta1_om,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,8,aux_beta2_om,0022_psgdh_core_512k_aux_beta2_om_0p707106781187,0.0009999999999998899,False,0.0,False
512k,8,aux_cooldown_frac,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,8,aux_lr_global,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,8,matrix_beta1_om,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,8,matrix_cooldown_frac,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,8,matrix_lr,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
512k,8,precond_lr,0000_psgdh_core_512k_center_1,0.0,False,0.0,False
