stamp,batch,case_id,coord,coord_value,status,last_step,total_steps,last_val_loss,failure_kind,hardware_family,gpuv,matrix_lr_mult,precond_lr_mult,matrix_beta1_om_mult,aux_lr_mult,aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,hidden_cooldown_frac
pretraining_psgdh_pcd_1m_r0_recovery2_faststall_20260828_1246,1m,0025_psgdh_core_1m_aux_cooldown_frac_0,aux_cooldown_frac,0,DONE,1625,1625,3.33138,,H20,NVIDIA_H20,1,1,1,1,1,1,0,1
pretraining_psgdh_pcd_1m_r0_recovery7_seedeval_20260828_1123,1m,0026_psgdh_core_1m_aux_cooldown_frac_0p2,aux_cooldown_frac,0.2,DONE,1625,1625,3.30671,,H20,NVIDIA_H20,1,1,1,1,1,1,0.2,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0027_psgdh_core_1m_aux_cooldown_frac_0p4,aux_cooldown_frac,0.4,DONE,1625,1625,3.30515,,H20,NVIDIA_H20,1,1,1,1,1,1,0.4,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0028_psgdh_core_1m_aux_cooldown_frac_0p6,aux_cooldown_frac,0.6,DONE,1625,1625,3.30487,,H20,NVIDIA_H20,1,1,1,1,1,1,0.6,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0029_psgdh_core_1m_aux_cooldown_frac_0p8,aux_cooldown_frac,0.8,DONE,1625,1625,3.30815,,H20,NVIDIA_H20,1,1,1,1,1,1,0.8,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0030_psgdh_core_1m_matrix_cooldown_frac_0p6,matrix_cooldown_frac,0.6,DONE,1625,1625,3.31746,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,0.6
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0031_psgdh_core_1m_matrix_cooldown_frac_0p8,matrix_cooldown_frac,0.8,DONE,1625,1625,3.30655,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,0.8
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0000_psgdh_core_1m_center_1,center,center,DONE,1625,1625,3.30521,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0001_psgdh_core_1m_matrix_lr_0p5,matrix_lr,0.5,DONE,1625,1625,3.34891,,H20,NVIDIA_H20,0.5,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0002_psgdh_core_1m_matrix_lr_0p707106781187,matrix_lr,0.707106781187,DONE,1625,1625,3.32016,,H20,NVIDIA_H20,0.707106781187,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0003_psgdh_core_1m_matrix_lr_1p41421356237,matrix_lr,1.41421356237,DONE,1625,1625,3.31625,,H20,NVIDIA_H20,1.41421356237,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0004_psgdh_core_1m_matrix_lr_2,matrix_lr,2,DONE,1625,1625,3.34533,,H20,NVIDIA_H20,2,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0005_psgdh_core_1m_precond_lr_0p5,precond_lr,0.5,DONE,1625,1625,3.3146,,H20,NVIDIA_H20,1,0.5,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0006_psgdh_core_1m_precond_lr_0p707106781187,precond_lr,0.707106781187,DONE,1625,1625,3.31013,,H20,NVIDIA_H20,1,0.707106781187,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0007_psgdh_core_1m_precond_lr_1p41421356237,precond_lr,1.41421356237,DONE,1625,1625,3.30595,,H20,NVIDIA_H20,1,1.41421356237,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0008_psgdh_core_1m_precond_lr_2,precond_lr,2,DONE,1625,1625,3.30824,,H20,NVIDIA_H20,1,2,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0009_psgdh_core_1m_matrix_beta1_om_0p5,matrix_beta1_om,0.5,DONE,1625,1625,3.31972,,H20,NVIDIA_H20,1,1,0.5,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0010_psgdh_core_1m_matrix_beta1_om_0p707106781187,matrix_beta1_om,0.707106781187,DONE,1625,1625,3.30914,,H20,NVIDIA_H20,1,1,0.707106781187,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0011_psgdh_core_1m_matrix_beta1_om_1p41421356237,matrix_beta1_om,1.41421356237,DONE,1625,1625,3.30599,,H20,NVIDIA_H20,1,1,1.41421356237,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0012_psgdh_core_1m_matrix_beta1_om_2,matrix_beta1_om,2,DONE,1625,1625,3.31059,,H20,NVIDIA_H20,1,1,2,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0013_psgdh_core_1m_aux_lr_global_0p5,aux_lr_global,0.5,DONE,1625,1625,3.323,,H20,NVIDIA_H20,1,1,1,0.5,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0014_psgdh_core_1m_aux_lr_global_0p707106781187,aux_lr_global,0.707106781187,DONE,1625,1625,3.31267,,H20,NVIDIA_H20,1,1,1,0.707106781187,1,1,0.5,1
pretraining_psgdh_pcd_1m_r1_confirm_20260828_1320,1m,0015_psgdh_core_1m_aux_lr_global_1p41421356237,aux_lr_global,1.41421356237,DONE,1625,1625,3.305,,H20,NVIDIA_H20,1,1,1,1.41421356237,1,1,0.5,1
