stamp,batch,case_id,coord,coord_value,status,last_step,total_steps,last_val_loss,failure_kind,hardware_family,gpuv,matrix_lr_mult,precond_lr_mult,matrix_beta1_om_mult,aux_lr_mult,aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,hidden_cooldown_frac
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0000_psgdh_core_2m_center_1,center,center,DONE,813,813,3.37996,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0001_psgdh_core_2m_matrix_lr_0p5,matrix_lr,0.5,DONE,813,813,3.46359,,H20,NVIDIA_H20,0.5,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0002_psgdh_core_2m_matrix_lr_0p707106781187,matrix_lr,0.707106781187,DONE,813,813,3.41301,,H20,NVIDIA_H20,0.707106781187,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0003_psgdh_core_2m_matrix_lr_1p41421356237,matrix_lr,1.41421356237,DONE,813,813,3.37,,H20,NVIDIA_H20,1.41421356237,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0004_psgdh_core_2m_matrix_lr_2,matrix_lr,2,DONE,813,813,3.38246,,H20,NVIDIA_H20,2,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0005_psgdh_core_2m_precond_lr_0p5,precond_lr,0.5,DONE,813,813,3.39778,,H20,NVIDIA_H20,1,0.5,1,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0006_psgdh_core_2m_precond_lr_0p707106781187,precond_lr,0.707106781187,DONE,813,813,3.38821,,H20,NVIDIA_H20,1,0.707106781187,1,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0007_psgdh_core_2m_precond_lr_1p41421356237,precond_lr,1.41421356237,DONE,813,813,3.37684,,H20,NVIDIA_H20,1,1.41421356237,1,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0008_psgdh_core_2m_precond_lr_2,precond_lr,2,DONE,813,813,3.3789,,H20,NVIDIA_H20,1,2,1,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0009_psgdh_core_2m_matrix_beta1_om_0p5,matrix_beta1_om,0.5,DONE,813,813,3.38739,,H20,NVIDIA_H20,1,1,0.5,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0010_psgdh_core_2m_matrix_beta1_om_0p707106781187,matrix_beta1_om,0.707106781187,DONE,813,813,3.38011,,H20,NVIDIA_H20,1,1,0.707106781187,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0011_psgdh_core_2m_matrix_beta1_om_1p41421356237,matrix_beta1_om,1.41421356237,DONE,813,813,3.38116,,H20,NVIDIA_H20,1,1,1.41421356237,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0012_psgdh_core_2m_matrix_beta1_om_2,matrix_beta1_om,2,DONE,813,813,3.38972,,H20,NVIDIA_H20,1,1,2,1,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0013_psgdh_core_2m_aux_lr_global_0p5,aux_lr_global,0.5,DONE,813,813,3.40437,,H20,NVIDIA_H20,1,1,1,0.5,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0014_psgdh_core_2m_aux_lr_global_0p707106781187,aux_lr_global,0.707106781187,DONE,813,813,3.38781,,H20,NVIDIA_H20,1,1,1,0.707106781187,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0015_psgdh_core_2m_aux_lr_global_1p41421356237,aux_lr_global,1.41421356237,DONE,813,813,3.38079,,H20,NVIDIA_H20,1,1,1,1.41421356237,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0016_psgdh_core_2m_aux_lr_global_2,aux_lr_global,2,DONE,813,813,3.38028,,H20,NVIDIA_H20,1,1,1,2,1,1,0.5,1
pretraining_psgdh_pcd_2m_r0_recovery3_faststall_20260828_1246,2m,0017_psgdh_core_2m_aux_beta1_om_0p5,aux_beta1_om,0.5,DONE,813,813,3.38109,,H20,NVIDIA_H20,1,1,1,1,0.5,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0018_psgdh_core_2m_aux_beta1_om_0p707106781187,aux_beta1_om,0.707106781187,DONE,813,813,3.37878,,H20,NVIDIA_H20,1,1,1,1,0.707106781187,1,0.5,1
pretraining_psgdh_pcd_2m_r0_recovery3_faststall_20260828_1246,2m,0019_psgdh_core_2m_aux_beta1_om_1p41421356237,aux_beta1_om,1.41421356237,DONE,813,813,3.37782,,H20,NVIDIA_H20,1,1,1,1,1.41421356237,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0020_psgdh_core_2m_aux_beta1_om_2,aux_beta1_om,2,DONE,813,813,3.38521,,H20,NVIDIA_H20,1,1,1,1,2,1,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0021_psgdh_core_2m_aux_beta2_om_0p5,aux_beta2_om,0.5,DONE,813,813,3.37787,,H20,NVIDIA_H20,1,1,1,1,1,0.5,0.5,1
pretraining_psgdh_pcd_2m_r0_20260828_0828,2m,0022_psgdh_core_2m_aux_beta2_om_0p707106781187,aux_beta2_om,0.707106781187,DONE,813,813,3.37924,,H20,NVIDIA_H20,1,1,1,1,1,0.707106781187,0.5,1
