batch,round_index,coordinate,raw_best_case_id,raw_improvement,accepted,accepted_improvement,boundary
2m,0,aux_beta1_om,0019_psgdh_core_2m_aux_beta1_om_1p41421356237,0.002140000000000253,False,0.0,False
2m,0,aux_beta2_om,0021_psgdh_core_2m_aux_beta2_om_0p5,0.0020899999999999253,False,0.0,False
2m,0,aux_cooldown_frac,0026_psgdh_core_2m_aux_cooldown_frac_0p2,0.0009900000000002684,False,0.0,False
2m,0,aux_lr_global,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,0,matrix_beta1_om,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,0,matrix_cooldown_frac,0031_psgdh_core_2m_matrix_cooldown_frac_0p8,0.011950000000000127,True,0.011950000000000127,False
2m,0,matrix_lr,0003_psgdh_core_2m_matrix_lr_1p41421356237,0.009959999999999969,True,0.009959999999999969,False
2m,0,precond_lr,0007_psgdh_core_2m_precond_lr_1p41421356237,0.0031200000000000117,True,0.0031200000000000117,False
2m,1,aux_beta1_om,0018_psgdh_core_2m_aux_beta1_om_0p707106781187,0.0015000000000000568,False,0.0,False
2m,1,aux_beta2_om,0021_psgdh_core_2m_aux_beta2_om_0p5,0.0031799999999999606,True,0.0031799999999999606,True
2m,1,aux_cooldown_frac,0027_psgdh_core_2m_aux_cooldown_frac_0p4,0.0004499999999998394,False,0.0,False
2m,1,aux_lr_global,0016_psgdh_core_2m_aux_lr_global_2,0.004929999999999879,True,0.004929999999999879,True
2m,1,matrix_beta1_om,0012_psgdh_core_2m_matrix_beta1_om_2,0.010079999999999867,True,0.010079999999999867,True
2m,1,matrix_cooldown_frac,0031_psgdh_core_2m_matrix_cooldown_frac_1,0.0022099999999998232,False,0.0,False
2m,1,matrix_lr,0002_psgdh_core_2m_matrix_lr_0p707106781187,0.003429999999999822,True,0.003429999999999822,False
2m,1,precond_lr,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,2,aux_beta1_om,0018_psgdh_core_2m_aux_beta1_om_0p707106781187,4.000000000026205e-05,False,0.0,False
2m,2,aux_beta2_om,0021_psgdh_core_2m_aux_beta2_om_0p5,0.000980000000000203,False,0.0,False
2m,2,aux_cooldown_frac,0027_psgdh_core_2m_aux_cooldown_frac_0p4,0.000300000000000189,False,0.0,False
2m,2,aux_lr_global,0014_psgdh_core_2m_aux_lr_global_0p707106781187,0.004859999999999864,True,0.004859999999999864,False
2m,2,matrix_beta1_om,0010_psgdh_core_2m_matrix_beta1_om_0p707106781187,0.008310000000000262,True,0.008310000000000262,False
2m,2,matrix_cooldown_frac,0030_psgdh_core_2m_matrix_cooldown_frac_0p6,0.008440000000000225,True,0.008440000000000225,True
2m,2,matrix_lr,0003_psgdh_core_2m_matrix_lr_1p41421356237,0.012560000000000127,True,0.012560000000000127,False
2m,2,precond_lr,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,3,aux_beta1_om,0017_psgdh_core_2m_aux_beta1_om_0p5,0.0009500000000000064,False,0.0,False
2m,3,aux_beta2_om,0021_psgdh_core_2m_aux_beta2_om_0p5,0.0016899999999999693,False,0.0,False
2m,3,aux_cooldown_frac,0027_psgdh_core_2m_aux_cooldown_frac_0p4,0.0006900000000000794,False,0.0,False
2m,3,aux_lr_global,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,3,matrix_beta1_om,0012_psgdh_core_2m_matrix_beta1_om_2,0.00649999999999995,True,0.00649999999999995,True
2m,3,matrix_cooldown_frac,0031_psgdh_core_2m_matrix_cooldown_frac_0p8,0.010089999999999932,True,0.010089999999999932,True
2m,3,matrix_lr,0002_psgdh_core_2m_matrix_lr_0p707106781187,0.008539999999999992,True,0.008539999999999992,False
2m,3,precond_lr,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
