batch,round_index,coordinate,raw_best_case_id,raw_improvement,accepted,accepted_improvement,boundary
2m,4,aux_beta1_om,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,4,aux_beta2_om,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,4,aux_cooldown_frac,0027_psgdh_core_2m_aux_cooldown_frac_0p4,0.0003100000000002545,False,0.0,False
2m,4,aux_lr_global,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,4,matrix_beta1_om,0009_psgdh_core_2m_matrix_beta1_om_0p5,0.015020000000000255,True,0.015020000000000255,True
2m,4,matrix_cooldown_frac,0030_psgdh_core_2m_matrix_cooldown_frac_0p6,0.01114000000000015,True,0.01114000000000015,True
2m,4,matrix_lr,0003_psgdh_core_2m_matrix_lr_1p41421356237,0.016550000000000065,True,0.016550000000000065,False
2m,4,precond_lr,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,5,aux_beta1_om,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,5,aux_beta2_om,0021_psgdh_core_2m_aux_beta2_om_0p5,0.0004399999999997739,False,0.0,False
2m,5,aux_cooldown_frac,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,5,aux_lr_global,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,5,matrix_beta1_om,0012_psgdh_core_2m_matrix_beta1_om_2,0.00370999999999988,True,0.00370999999999988,True
2m,5,matrix_cooldown_frac,0031_psgdh_core_2m_matrix_cooldown_frac_0p8,0.008939999999999948,True,0.008939999999999948,True
2m,5,matrix_lr,0002_psgdh_core_2m_matrix_lr_0p707106781187,0.007859999999999978,True,0.007859999999999978,False
2m,5,precond_lr,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,6,aux_beta1_om,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,6,aux_beta2_om,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,6,aux_cooldown_frac,0027_psgdh_core_2m_aux_cooldown_frac_0p4,0.0005500000000000504,False,0.0,False
2m,6,aux_lr_global,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,6,matrix_beta1_om,0009_psgdh_core_2m_matrix_beta1_om_0p5,0.01485000000000003,True,0.01485000000000003,True
2m,6,matrix_cooldown_frac,0030_psgdh_core_2m_matrix_cooldown_frac_0p6,0.00926999999999989,True,0.00926999999999989,True
2m,6,matrix_lr,0003_psgdh_core_2m_matrix_lr_1p41421356237,0.017059999999999853,True,0.017059999999999853,False
2m,6,precond_lr,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,7,aux_beta1_om,0018_psgdh_core_2m_aux_beta1_om_0p707106781187,0.0015899999999997583,False,0.0,False
2m,7,aux_beta2_om,0022_psgdh_core_2m_aux_beta2_om_0p707106781187,0.0020999999999999908,False,0.0,False
2m,7,aux_cooldown_frac,0027_psgdh_core_2m_aux_cooldown_frac_0p4,0.0009700000000001374,False,0.0,False
2m,7,aux_lr_global,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,7,matrix_beta1_om,0011_psgdh_core_2m_matrix_beta1_om_1p41421356237,0.0008900000000000574,False,0.0,False
2m,7,matrix_cooldown_frac,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,7,matrix_lr,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
2m,7,precond_lr,0000_psgdh_core_2m_center_1,0.0,False,0.0,False
